ID,Prob1
164, 0.31
165, 0.23
166, 0.16
167, 0.26
168, 0.49
169, 0.36
170, 0.17
171, 0.54
172, 0.06
173, 0.76
174, 0.29
175, 0.33
176, 0.16
177, 0.34
178, 0.54
179, 0.11
180, 0.60
181, 0.31
182, 0.15
183, 0.17
184, 0.45
185, 0.30
186, 0.46
187, 0.69
188, 0.32
189, 0.26
190, 0.88
191, 0.13
192, 0.36
193, 0.15
194, 0.37
195, 0.39
196, 0.17
197, 0.41
198, 0.48
199, 0.24
200, 0.16
201, 0.21
202, 0.84
203, 0.14
204, 0.46
205, 0.20
206, 0.15
207, 0.39
208, 0.46
209, 0.54
210, 0.28
211, 0.31
212, 0.20
213, 0.54
214, 0.49
215, 0.17
216, 0.21
217, 0.15
218, 0.20
219, 0.35
220, 0.07
221, 0.31
222, 0.45
223, 0.67
224, 0.32
225, 0.16
226, 0.41
227, 0.32
228, 0.16
229, 0.13
230, 0.36
231, 0.54
232, 0.15
233, 0.09
234, 0.37
235, 0.23
236, 0.35
237, 0.45
238, 0.53
239, 0.19
240, 0.36
241, 0.20
242, 0.27
243, 0.12
244, 0.32
245, 0.41
246, 0.08
247, 0.57
248, 0.19
249, 0.12
250, 0.50
251, 0.16
252, 0.12
253, 0.21
254, 0.43
255, 0.22
256, 0.14
257, 0.20
258, 0.82
259, 0.20
260, 0.34
261, 0.49
262, 0.20
263, 0.08
264, 0.18
265, 0.41
266, 0.12
267, 0.20
268, 0.26
269, 0.40
270, 0.05
271, 0.12
272, 0.16
273, 0.39
274, 0.32
275, 0.39
276, 0.73
277, 0.50
278, 0.29
279, 0.17
280, 0.45
281, 0.22
282, 0.07
283, 0.38
284, 0.30
285, 0.54
286, 0.27
287, 0.30
288, 0.27
289, 0.20
290, 0.14
291, 0.27
292, 0.56
293, 0.40
294, 0.34
295, 0.20
296, 0.42
297, 0.04
298, 0.04
299, 0.70
300, 0.21
301, 0.50
302, 0.76
303, 0.61
304, 0.44
305, 0.57
306, 0.16
307, 0.32
308, 0.41
309, 0.32
310, 0.35
311, 0.12
312, 0.51
313, 0.17
314, 0.52
315, 0.67
316, 0.04
317, 0.39
318, 0.46
319, 0.50
320, 0.17
321, 0.62
322, 0.43
323, 0.24
324, 0.18
325, 0.49
326, 0.52
327, 0.54
328, 0.05
329, 0.13
330, 0.28
331, 0.51
332, 0.30
333, 0.27
334, 0.44
335, 0.35
336, 0.24
337, 0.82
338, 0.50
339, 0.39
340, 0.31
341, 0.10
342, 0.17
343, 0.02
344, 0.14
345, 0.57
346, 0.71
347, 0.06
348, 0.30
349, 0.55
350, 0.04
351, 0.19
352, 0.29
353, 0.35
354, 0.51
355, 0.23
356, 0.11
357, 0.38
358, 0.18
359, 0.21
360, 0.07
361, 0.04
362, 0.07
363, 0.44
364, 0.26
365, 0.69
366, 0.38
367, 0.19
368, 0.20
369, 0.39
370, 0.25
371, 0.24
372, 0.16
373, 0.04
374, 0.11
375, 0.21
376, 0.23
377, 0.16
378, 0.66
379, 0.30
380, 0.41
381, 0.20
382, 0.45
383, 0.88
384, 0.20
385, 0.41
386, 0.54
387, 0.19
388, 0.19
389, 0.28
390, 0.13
391, 0.07
392, 0.41
393, 0.48
394, 0.32
395, 0.14
396, 0.20
397, 0.41
398, 0.20
399, 0.83
400, 0.38
401, 0.22
402, 0.30
403, 0.22
404, 0.21
405, 0.23
406, 0.66
407, 0.26
408, 0.35
409, 0.20
410, 0.07
411, 0.41
412, 0.62
413, 0.45
414, 0.27
415, 0.22
416, 0.07
417, 0.15
418, 0.34
419, 0.50
420, 0.42
421, 0.17
422, 0.43
423, 0.44
424, 0.37
425, 0.38
426, 0.21
427, 0.23
428, 0.20
429, 0.12
430, 0.35
431, 0.44
432, 0.06
433, 0.21
434, 0.70
435, 0.16
436, 0.42
437, 0.54
438, 0.26
439, 0.16
440, 0.20
441, 0.36
442, 0.40
443, 0.17
444, 0.20
445, 0.09
446, 0.34
447, 0.41
448, 0.73
449, 0.61
450, 0.44
451, 0.45
452, 0.25
453, 0.61
454, 0.23
455, 0.11
456, 0.74
457, 0.32
458, 0.38
459, 0.35
460, 0.53
461, 0.17
462, 0.10
463, 0.12
464, 0.40
465, 0.35
466, 0.18
467, 0.51
468, 0.41
469, 0.26
470, 0.39
471, 0.41
472, 0.16
473, 0.41
474, 0.32
475, 0.14
476, 0.32
477, 0.54
478, 0.17
479, 0.17
480, 0.22
481, 0.49
482, 0.62
483, 0.22
484, 0.24
485, 0.55
486, 0.91
487, 0.74
488, 0.46
489, 0.61
490, 0.28
491, 0.61
492, 0.20
493, 0.04
494, 0.52
495, 0.73
496, 0.29
497, 0.88
498, 0.61
499, 0.62
500, 0.60
501, 0.19
502, 0.26
503, 0.38
504, 0.54
505, 0.25
506, 0.47
507, 0.36
508, 0.26
509, 0.49
510, 0.54
511, 0.16
512, 0.38
513, 0.12
514, 0.63
515, 0.53
516, 0.35
517, 0.21
518, 0.63
519, 0.61
520, 0.61
521, 0.26
522, 0.28
523, 0.49
524, 0.39
525, 0.69
526, 0.28
527, 0.38
528, 0.71
529, 0.17
530, 0.23
531, 0.26
532, 0.39
533, 0.27
534, 0.76
535, 0.56
536, 0.23
537, 0.22
538, 0.27
539, 0.55
540, 0.14
541, 0.13
542, 0.69
543, 0.57
544, 0.20
545, 0.53
546, 0.42
547, 0.11
548, 0.17
549, 0.04
550, 0.65
551, 0.27
552, 0.42
553, 0.28
554, 0.51
555, 0.35
556, 0.22
557, 0.20
558, 0.25
559, 0.28
560, 0.20
561, 0.25
562, 0.20
563, 0.23
564, 0.11
565, 0.20
566, 0.27
567, 0.39
568, 0.30
569, 0.31
570, 0.36
571, 0.16
572, 0.08
573, 0.31
574, 0.20
575, 0.16
576, 0.36
577, 0.40
578, 0.32
579, 0.32
580, 0.69
581, 0.19
582, 0.69
583, 0.43
584, 0.14
585, 0.27
586, 0.63
587, 0.52
588, 0.07
589, 0.45
590, 0.07
591, 0.18
592, 0.91
593, 0.39
594, 0.27
595, 0.39
596, 0.39
597, 0.21
598, 0.18
599, 0.30
600, 0.32
601, 0.49
602, 0.30
603, 0.51
604, 0.11
605, 0.38
606, 0.36
607, 0.09
608, 0.19
609, 0.46
610, 0.31
611, 0.74
612, 0.35
613, 0.29
614, 0.21
615, 0.27
616, 0.55
617, 0.13
618, 0.17
619, 0.20
620, 0.57
621, 0.40
622, 0.41
623, 0.11
624, 0.34
625, 0.66
626, 0.16
627, 0.39
628, 0.68
629, 0.24
630, 0.23
631, 0.23
632, 0.35
633, 0.25
634, 0.20
635, 0.51
636, 0.54
637, 0.21
638, 0.03
639, 0.30
640, 0.16
641, 0.56
642, 0.51
643, 0.67
644, 0.40
645, 0.20
646, 0.20
647, 0.17
648, 0.27
649, 0.35
650, 0.13
651, 0.12
652, 0.55
653, 0.36
654, 0.12
655, 0.21
656, 0.32
657, 0.58
658, 0.24
659, 0.38
660, 0.69
661, 0.39
662, 0.08
663, 0.20
664, 0.62
665, 0.14
666, 0.36
667, 0.39
668, 0.25
669, 0.39
670, 0.16
671, 0.16
672, 0.38
673, 0.12
674, 0.18
675, 0.35
676, 0.26
677, 0.50
678, 0.28
679, 0.13
680, 0.83
681, 0.27
682, 0.21
683, 0.58
684, 0.29
685, 0.36
686, 0.12
687, 0.17
688, 0.07
689, 0.20
690, 0.18
691, 0.34
692, 0.25
693, 0.37
694, 0.35
695, 0.42
696, 0.49
697, 0.27
698, 0.28
699, 0.17
700, 0.36
701, 0.16
702, 0.36
703, 0.39
704, 0.55
705, 0.76
706, 0.05
707, 0.28
708, 0.26
709, 0.27
710, 0.51
711, 0.88
712, 0.16
713, 0.10
714, 0.28
715, 0.22
716, 0.91
717, 0.39
718, 0.26
719, 0.22
720, 0.48
721, 0.55
722, 0.27
723, 0.23
724, 0.16
725, 0.26
726, 0.21
727, 0.69
728, 0.13
729, 0.49
730, 0.20
731, 0.35
732, 0.29
733, 0.16
734, 0.14
735, 0.50
736, 0.55
737, 0.14
738, 0.63
739, 0.41
740, 0.61
741, 0.52
742, 0.37
743, 0.25
744, 0.74
745, 0.55
746, 0.81
747, 0.45
748, 0.21
749, 0.30
750, 0.20
751, 0.54
752, 0.24
753, 0.21
754, 0.44
755, 0.46
756, 0.19
757, 0.65
758, 0.10
759, 0.41
760, 0.06
761, 0.26
762, 0.26
763, 0.36
764, 0.17
765, 0.37
766, 0.14
767, 0.04
768, 0.34
769, 0.56
770, 0.43
771, 0.07
772, 0.53
773, 0.32
774, 0.29
775, 0.32
776, 0.26
777, 0.05
778, 0.30
779, 0.28
780, 0.84
781, 0.14
782, 0.04
783, 0.56
784, 0.55
785, 0.45
786, 0.14
787, 0.35
788, 0.84
789, 0.14
790, 0.33
791, 0.40
792, 0.37
793, 0.17
794, 0.81
795, 0.35
796, 0.27
797, 0.78
798, 0.68
799, 0.14
800, 0.57
801, 0.21
802, 0.32
803, 0.55
804, 0.29
805, 0.76
806, 0.24
807, 0.38
808, 0.04
809, 0.46
810, 0.42
811, 0.62
812, 0.23
813, 0.04
814, 0.69
815, 0.21
816, 0.40
817, 0.76
818, 0.30
819, 0.36
820, 0.36
821, 0.27
822, 0.20
823, 0.36
824, 0.49
825, 0.14
826, 0.81
827, 0.36
828, 0.41
829, 0.36
830, 0.17
831, 0.39
832, 0.41
833, 0.55
834, 0.27
835, 0.51
836, 0.60
837, 0.26
838, 0.32
839, 0.18
840, 0.16
841, 0.07
842, 0.30
843, 0.44
844, 0.60
845, 0.27
846, 0.13
847, 0.39
848, 0.54
849, 0.84
850, 0.27
851, 0.28
852, 0.30
853, 0.84
854, 0.20
855, 0.15
856, 0.26
857, 0.38
858, 0.21
859, 0.23
860, 0.02
861, 0.38
862, 0.24
863, 0.44
864, 0.32
865, 0.35
866, 0.12
867, 0.35
868, 0.08
869, 0.06
870, 0.44
871, 0.27
872, 0.34
873, 0.51
874, 0.30
875, 0.40
876, 0.34
877, 0.26
878, 0.26
879, 0.36
880, 0.14
881, 0.24
882, 0.24
883, 0.36
884, 0.20
885, 0.29
886, 0.16
887, 0.46
888, 0.35
889, 0.41
890, 0.68
891, 0.20
892, 0.26
893, 0.28
894, 0.20
895, 0.28
896, 0.40
897, 0.32
898, 0.20
899, 0.44
900, 0.49
901, 0.61
902, 0.25
903, 0.36
904, 0.57
905, 0.58
906, 0.15
907, 0.63
908, 0.76
909, 0.67
910, 0.53
911, 0.30
912, 0.27
913, 0.36
914, 0.26
915, 0.43
916, 0.52
917, 0.46
918, 0.28
919, 0.29
920, 0.49
921, 0.32
922, 0.32
923, 0.55
924, 0.51
925, 0.11
926, 0.29
927, 0.07
928, 0.38
929, 0.13
930, 0.26
931, 0.39
932, 0.14
933, 0.36
934, 0.14
935, 0.20
936, 0.52
937, 0.39
938, 0.39
939, 0.62
940, 0.13
941, 0.30
942, 0.83
943, 0.13
944, 0.20
945, 0.39
946, 0.16
947, 0.28
948, 0.17
949, 0.38
950, 0.29
951, 0.50
952, 0.15
953, 0.50
954, 0.26
955, 0.48
956, 0.27
957, 0.35
958, 0.54
959, 0.14
960, 0.49
961, 0.54
962, 0.16
963, 0.45
964, 0.39
965, 0.15
966, 0.42
967, 0.21
968, 0.20
969, 0.24
970, 0.40
971, 0.55
972, 0.61
973, 0.51
974, 0.34
975, 0.40
976, 0.08
977, 0.22
978, 0.48
979, 0.15
980, 0.25
981, 0.29
982, 0.39
983, 0.34
984, 0.69
985, 0.36
986, 0.14
987, 0.47
988, 0.16
989, 0.22
990, 0.17
991, 0.36
992, 0.46
993, 0.25
994, 0.06
995, 0.12
996, 0.46
997, 0.44
998, 0.54
999, 0.11
1000, 0.56
1001, 0.50
1002, 0.71
1003, 0.21
1004, 0.63
1005, 0.23
1006, 0.03
1007, 0.41
1008, 0.20
1009, 0.40
1010, 0.30
1011, 0.34
1012, 0.20
1013, 0.74
1014, 0.39
1015, 0.32
1016, 0.71
1017, 0.41
1018, 0.46
1019, 0.17
1020, 0.25
1021, 0.19
1022, 0.12
1023, 0.56
1024, 0.28
1025, 0.32
1026, 0.53
1027, 0.73
1028, 0.68
1029, 0.22
1030, 0.40
1031, 0.55
1032, 0.50
1033, 0.39
1034, 0.34
1035, 0.12
1036, 0.24
1037, 0.26
1038, 0.20
1039, 0.38
1040, 0.49
1041, 0.36
1042, 0.35
1043, 0.56
1044, 0.51
1045, 0.14
1046, 0.69
1047, 0.14
1048, 0.49
1049, 0.63
1050, 0.12
1051, 0.39
1052, 0.17
1053, 0.20
1054, 0.14
1055, 0.25
1056, 0.20
1057, 0.14
1058, 0.09
1059, 0.32
1060, 0.25
1061, 0.05
1062, 0.50
1063, 0.44
1064, 0.20
1065, 0.35
1066, 0.27
1067, 0.42
1068, 0.40
1069, 0.13
1070, 0.94
1071, 0.38
1072, 0.20
1073, 0.38
1074, 0.32
1075, 0.20
1076, 0.58
1077, 0.38
1078, 0.31
1079, 0.39
1080, 0.55
1081, 0.07
1082, 0.34
1083, 0.40
1084, 0.50
1085, 0.26
1086, 0.13
1087, 0.27
1088, 0.57
1089, 0.37
1090, 0.06
1091, 0.17
1092, 0.24
1093, 0.21
1094, 0.15
1095, 0.28
1096, 0.39
1097, 0.62
1098, 0.26
1099, 0.39
1100, 0.41
1101, 0.16
1102, 0.30
1103, 0.51
1104, 0.26
1105, 0.38
1106, 0.51
1107, 0.32
1108, 0.39
1109, 0.62
1110, 0.41
1111, 0.21
1112, 0.55
1113, 0.20
1114, 0.39
1115, 0.24
1116, 0.55
1117, 0.23
1118, 0.06
1119, 0.36
1120, 0.63
1121, 0.39
1122, 0.32
1123, 0.15
1124, 0.57
1125, 0.17
1126, 0.20
1127, 0.26
1128, 0.20
1129, 0.49
1130, 0.74
1131, 0.08
1132, 0.44
1133, 0.32
1134, 0.44
1135, 0.16
1136, 0.59
1137, 0.34
1138, 0.44
1139, 0.41
1140, 0.30
1141, 0.44
1142, 0.20
1143, 0.34
1144, 0.57
1145, 0.14
1146, 0.35
1147, 0.05
1148, 0.26
1149, 0.76
1150, 0.27
1151, 0.56
1152, 0.16
1153, 0.32
1154, 0.36
1155, 0.38
1156, 0.26
1157, 0.14
1158, 0.55
1159, 0.16
1160, 0.35
1161, 0.04
1162, 0.07
1163, 0.29
1164, 0.25
1165, 0.82
1166, 0.14
1167, 0.11
1168, 0.32
1169, 0.21
1170, 0.24
1171, 0.29
1172, 0.39
1173, 0.44
1174, 0.50
1175, 0.32
1176, 0.61
1177, 0.46
1178, 0.39
1179, 0.32
1180, 0.27
1181, 0.28
1182, 0.21
1183, 0.32
1184, 0.39
1185, 0.61
1186, 0.20
1187, 0.17
1188, 0.53
1189, 0.43
1190, 0.16
1191, 0.36
1192, 0.26
1193, 0.43
1194, 0.36
1195, 0.28
1196, 0.28
1197, 0.30
1198, 0.41
1199, 0.31
1200, 0.36
1201, 0.24
1202, 0.70
1203, 0.36
1204, 0.07
1205, 0.41
1206, 0.39
1207, 0.20
1208, 0.08
1209, 0.82
1210, 0.49
1211, 0.17
1212, 0.28
1213, 0.24
1214, 0.28
1215, 0.39
1216, 0.32
1217, 0.10
1218, 0.51
1219, 0.27
1220, 0.38
1221, 0.36
1222, 0.68
1223, 0.13
1224, 0.12
1225, 0.26
1226, 0.56
1227, 0.53
1228, 0.10
1229, 0.67
1230, 0.55
1231, 0.47
1232, 0.14
1233, 0.46
1234, 0.24
1235, 0.26
1236, 0.22
1237, 0.31
1238, 0.05
1239, 0.76
1240, 0.41
1241, 0.32
1242, 0.76
1243, 0.20
1244, 0.13
1245, 0.33
1246, 0.32
1247, 0.58
1248, 0.47
1249, 0.14
1250, 0.41
1251, 0.15
1252, 0.24
1253, 0.30
1254, 0.29
1255, 0.39
1256, 0.36
1257, 0.20
1258, 0.38
1259, 0.12
1260, 0.39
1261, 0.44
1262, 0.21
1263, 0.24
1264, 0.06
1265, 0.02
1266, 0.55
1267, 0.40
1268, 0.41
1269, 0.12
1270, 0.38
1271, 0.57
1272, 0.20
1273, 0.30
1274, 0.12
1275, 0.18
1276, 0.34
1277, 0.38
1278, 0.76
1279, 0.17
1280, 0.44
1281, 0.21
1282, 0.13
1283, 0.21
1284, 0.13
1285, 0.13
1286, 0.34
1287, 0.32
1288, 0.08
1289, 0.20
1290, 0.26
1291, 0.16
1292, 0.25
1293, 0.36
1294, 0.69
1295, 0.27
1296, 0.24
1297, 0.14
1298, 0.38
1299, 0.73
1300, 0.41
1301, 0.16
1302, 0.38
1303, 0.13
1304, 0.22
1305, 0.35
1306, 0.16
1307, 0.30
1308, 0.07
1309, 0.20
1310, 0.51
1311, 0.17
1312, 0.36
1313, 0.41
1314, 0.42
1315, 0.36
1316, 0.12
1317, 0.22
1318, 0.14
1319, 0.23
1320, 0.21
1321, 0.19
1322, 0.24
1323, 0.27
1324, 0.58
1325, 0.45
1326, 0.17
1327, 0.53
1328, 0.55
1329, 0.14
1330, 0.41
1331, 0.13
1332, 0.16
1333, 0.12
1334, 0.28
1335, 0.05
1336, 0.22
1337, 0.41
1338, 0.11
1339, 0.32
1340, 0.24
1341, 0.71
1342, 0.38
1343, 0.88
1344, 0.21
1345, 0.40
1346, 0.14
1347, 0.59
1348, 0.16
1349, 0.38
1350, 0.39
1351, 0.35
1352, 0.24
1353, 0.14
1354, 0.27
1355, 0.24
1356, 0.27
1357, 0.46
1358, 0.28
1359, 0.20
1360, 0.38
1361, 0.36
1362, 0.28
1363, 0.44
1364, 0.30
1365, 0.71
1366, 0.28
1367, 0.71
1368, 0.24
1369, 0.43
1370, 0.17
1371, 0.49
1372, 0.39
1373, 0.31
1374, 0.18
1375, 0.28
1376, 0.54
1377, 0.27
1378, 0.29
1379, 0.75
1380, 0.20
1381, 0.58
1382, 0.20
1383, 0.41
1384, 0.21
1385, 0.28
1386, 0.26
1387, 0.27
1388, 0.26
1389, 0.27
1390, 0.70
1391, 0.68
1392, 0.36
1393, 0.66
1394, 0.20
1395, 0.08
1396, 0.44
1397, 0.54
1398, 0.17
1399, 0.20
1400, 0.38
1401, 0.26
1402, 0.50
1403, 0.45
1404, 0.82
1405, 0.06
1406, 0.40
1407, 0.55
1408, 0.33
1409, 0.22
1410, 0.45
1411, 0.60
1412, 0.44
1413, 0.10
1414, 0.21
1415, 0.32
1416, 0.39
1417, 0.41
1418, 0.18
1419, 0.26
1420, 0.14
1421, 0.35
1422, 0.45
1423, 0.23
1424, 0.67
1425, 0.40
1426, 0.32
1427, 0.40
1428, 0.12
1429, 0.34
1430, 0.27
1431, 0.51
1432, 0.16
1433, 0.45
1434, 0.38
1435, 0.26
1436, 0.54
1437, 0.21
1438, 0.34
1439, 0.13
1440, 0.32
1441, 0.39
1442, 0.12
1443, 0.24
1444, 0.20
1445, 0.67
1446, 0.38
1447, 0.34
1448, 0.41
1449, 0.39
1450, 0.29
1451, 0.27
1452, 0.25
1453, 0.23
1454, 0.17
1455, 0.04
1456, 0.05
1457, 0.51
1458, 0.61
1459, 0.26
1460, 0.13
1461, 0.38
1462, 0.36
1463, 0.32
1464, 0.75
1465, 0.46
1466, 0.13
1467, 0.07
1468, 0.61
1469, 0.44
1470, 0.32
1471, 0.32
1472, 0.69
1473, 0.44
1474, 0.11
1475, 0.73
1476, 0.14
1477, 0.32
1478, 0.26
1479, 0.49
1480, 0.51
1481, 0.36
1482, 0.56
1483, 0.26
1484, 0.38
1485, 0.11
1486, 0.18
1487, 0.25
1488, 0.50
1489, 0.43
1490, 0.27
1491, 0.69
1492, 0.32
1493, 0.44
1494, 0.20
1495, 0.52
1496, 0.84
1497, 0.12
1498, 0.20
1499, 0.65
1500, 0.69
1501, 0.14
1502, 0.20
1503, 0.74
1504, 0.19
1505, 0.27
1506, 0.12
1507, 0.46
1508, 0.21
1509, 0.15
1510, 0.20
1511, 0.30
1512, 0.02
1513, 0.27
1514, 0.41
1515, 0.09
1516, 0.20
1517, 0.20
1518, 0.23
1519, 0.38
1520, 0.16
1521, 0.16
1522, 0.15
1523, 0.16
1524, 0.21
1525, 0.43
1526, 0.16
1527, 0.36
1528, 0.17
1529, 0.40
1530, 0.65
1531, 0.35
1532, 0.24
1533, 0.09
1534, 0.14
1535, 0.36
1536, 0.20
1537, 0.55
1538, 0.69
1539, 0.39
1540, 0.55
1541, 0.32
1542, 0.32
1543, 0.52
1544, 0.26
1545, 0.45
1546, 0.27
1547, 0.32
1548, 0.40
1549, 0.69
1550, 0.35
1551, 0.41
1552, 0.28
1553, 0.39
1554, 0.40
1555, 0.68
1556, 0.12
1557, 0.39
1558, 0.88
1559, 0.24
1560, 0.32
1561, 0.25
1562, 0.56
1563, 0.16
1564, 0.32
1565, 0.50
1566, 0.09
1567, 0.38
1568, 0.36
1569, 0.20
1570, 0.27
1571, 0.12
1572, 0.37
1573, 0.55
1574, 0.66
1575, 0.32
1576, 0.19
1577, 0.32
1578, 0.28
1579, 0.37
1580, 0.29
1581, 0.17
1582, 0.13
1583, 0.94
1584, 0.20
1585, 0.61
1586, 0.18
1587, 0.18
1588, 0.74
1589, 0.34
1590, 0.40
1591, 0.17
1592, 0.15
1593, 0.29
1594, 0.59
1595, 0.30
1596, 0.27
1597, 0.73
1598, 0.33
1599, 0.43
1600, 0.63
1601, 0.57
1602, 0.39
1603, 0.22
1604, 0.39
1605, 0.30
1606, 0.54
1607, 0.12
1608, 0.06
1609, 0.39
1610, 0.06
1611, 0.25
1612, 0.17
1613, 0.22
1614, 0.39
1615, 0.26
1616, 0.33
1617, 0.45
1618, 0.36
1619, 0.73
1620, 0.31
1621, 0.94
1622, 0.39
1623, 0.28
1624, 0.71
1625, 0.27
1626, 0.36
1627, 0.16
1628, 0.30
1629, 0.19
1630, 0.26
1631, 0.64
1632, 0.55
1633, 0.41
1634, 0.17
1635, 0.71
1636, 0.26
1637, 0.17
1638, 0.36
1639, 0.18
1640, 0.55
1641, 0.32
1642, 0.67
1643, 0.34
1644, 0.66
1645, 0.58
1646, 0.75
1647, 0.51
1648, 0.54
1649, 0.44
1650, 0.28
1651, 0.35
1652, 0.58
1653, 0.08
1654, 0.45
1655, 0.14
1656, 0.20
1657, 0.17
1658, 0.39
1659, 0.41
1660, 0.26
1661, 0.38
1662, 0.39
1663, 0.16
1664, 0.24
1665, 0.13
1666, 0.15
1667, 0.15
1668, 0.51
1669, 0.69
1670, 0.65
1671, 0.20
1672, 0.39
1673, 0.22
1674, 0.22
1675, 0.36
1676, 0.49
1677, 0.46
1678, 0.27
1679, 0.10
1680, 0.55
1681, 0.54
1682, 0.43
1683, 0.26
1684, 0.39
1685, 0.35
1686, 0.55
1687, 0.14
1688, 0.44
1689, 0.41
1690, 0.39
1691, 0.12
1692, 0.56
1693, 0.53
1694, 0.41
1695, 0.26
1696, 0.39
1697, 0.83
1698, 0.42
1699, 0.14
1700, 0.63
1701, 0.38
1702, 0.54
1703, 0.32
1704, 0.46
1705, 0.61
1706, 0.66
1707, 0.35
1708, 0.49
1709, 0.21
1710, 0.36
1711, 0.29
1712, 0.17
1713, 0.16
1714, 0.69
1715, 0.17
1716, 0.40
1717, 0.26
1718, 0.14
1719, 0.35
1720, 0.27
1721, 0.14
1722, 0.10
1723, 0.25
1724, 0.38
1725, 0.38
1726, 0.97
1727, 0.30
1728, 0.33
1729, 0.22
1730, 0.39
1731, 0.14
1732, 0.08
1733, 0.61
1734, 0.02
1735, 0.24
1736, 0.56
1737, 0.27
1738, 0.52
1739, 0.25
1740, 0.21
1741, 0.32
1742, 0.17
1743, 0.74
1744, 0.21
1745, 0.10
1746, 0.54
1747, 0.29
1748, 0.07
1749, 0.12
1750, 0.16
1751, 0.36
1752, 0.15
1753, 0.41
1754, 0.32
1755, 0.31
1756, 0.32
1757, 0.35
1758, 0.26
1759, 0.26
1760, 0.58
1761, 0.55
1762, 0.38
1763, 0.29
1764, 0.30
1765, 0.33
1766, 0.27
1767, 0.26
1768, 0.05
1769, 0.27
1770, 0.56
1771, 0.30
1772, 0.10
1773, 0.69
1774, 0.71
1775, 0.26
1776, 0.69
1777, 0.16
1778, 0.39
1779, 0.49
1780, 0.32
1781, 0.46
1782, 0.39
1783, 0.38
1784, 0.31
1785, 0.39
1786, 0.21
1787, 0.26
1788, 0.23
1789, 0.04
1790, 0.30
1791, 0.28
1792, 0.52
1793, 0.28
1794, 0.16
1795, 0.26
1796, 0.20
1797, 0.75
1798, 0.64
1799, 0.34
1800, 0.05
1801, 0.78
1802, 0.30
1803, 0.13
1804, 0.56
1805, 0.27
1806, 0.30
1807, 0.42
1808, 0.24
1809, 0.24
1810, 0.22
1811, 0.26
1812, 0.26
1813, 0.67
1814, 0.81
1815, 0.34
1816, 0.03
1817, 0.22
1818, 0.49
1819, 0.20
1820, 0.22
1821, 0.62
1822, 0.29
1823, 0.16
1824, 0.15
1825, 0.63
1826, 0.05
1827, 0.46
1828, 0.54
1829, 0.53
1830, 0.31
1831, 0.06
1832, 0.38
1833, 0.14
1834, 0.04
1835, 0.25
1836, 0.32
1837, 0.26
1838, 0.24
1839, 0.39
1840, 0.21
1841, 0.40
1842, 0.14
1843, 0.12
1844, 0.75
1845, 0.76
1846, 0.27
1847, 0.25
1848, 0.07
1849, 0.55
1850, 0.22
1851, 0.37
1852, 0.46
1853, 0.12
1854, 0.42
1855, 0.32
1856, 0.21
1857, 0.39
1858, 0.39
1859, 0.26
1860, 0.20
1861, 0.36
1862, 0.16
1863, 0.69
1864, 0.14
1865, 0.16
1866, 0.28
1867, 0.30
1868, 0.57
1869, 0.81
1870, 0.21
1871, 0.14
1872, 0.19
